number,contract_name,name,address,position_lat,position_lng,bonus,banking,data_entry_timestamp
65,dublin,CONVENTION CENTRE,Convention Centre,53.347439,-6.238523,0,1,2020-02-28 15:00:04
66,dublin,NEW CENTRAL BANK,New Central Bank,53.347122,-6.234749,0,0,2020-02-28 15:00:04
67,dublin,THE POINT,The Point,53.346867,-6.230852,0,0,2020-02-28 15:00:04
68,dublin,HANOVER QUAY,Hanover Quay,53.344116,-6.237153,0,1,2020-02-28 15:00:04
69,dublin,GRAND CANAL DOCK,Grand Canal Dock,53.342636,-6.238695,0,0,2020-02-28 15:00:04
71,dublin,KEVIN STREET,Kevin Street,53.337757,-6.267699,0,1,2020-02-28 15:00:04
72,dublin,JOHN STREET WEST,John Street West,53.343105,-6.277167,0,0,2020-02-28 15:00:04
73,dublin,FRANCIS STREET,Francis Street,53.342079,-6.275233,0,0,2020-02-28 15:00:04
74,dublin,OLIVER BOND STREET,Oliver Bond Street,53.343891,-6.280531,0,0,2020-02-28 15:00:04
75,dublin,JAMES STREET,James Street,53.343456,-6.287409,0,1,2020-02-28 15:00:04
76,dublin,MARKET STREET SOUTH,Market Street South,53.342297,-6.287661,0,0,2020-02-28 15:00:04
77,dublin,WOLFE TONE STREET,Wolfe Tone Street,53.348873,-6.267459,0,0,2020-02-28 15:00:04
78,dublin,MATER HOSPITAL,Mater Hospital,53.359966,-6.264828,0,0,2020-02-28 15:00:04
79,dublin,ECCLES STREET EAST,Eccles Street East,53.358116,-6.265601,0,0,2020-02-28 15:00:04
80,dublin,ST JAMES HOSPITAL (LUAS),St James Hospital (Luas),53.341358,-6.292951,0,0,2020-02-28 15:00:04
81,dublin,ST. JAMES HOSPITAL (CENTRAL),St. James Hospital (Central),53.339985,-6.295594,0,0,2020-02-28 15:00:04
82,dublin,MOUNT BROWN,Mount Brown,53.341644,-6.29719,0,0,2020-02-28 15:00:04
83,dublin,EMMET ROAD,Emmet Road,53.340714,-6.308191,0,0,2020-02-28 15:00:04
84,dublin,BROOKFIELD ROAD,Brookfield Road,53.339005,-6.300217,0,0,2020-02-28 15:00:04
85,dublin,ROTHE ABBEY,Rothe Abbey,53.338776,-6.30395,0,1,2020-02-28 15:00:04
86,dublin,PARKGATE STREET,Parkgate Street,53.347973,-6.291804,0,1,2020-02-28 15:00:04
87,dublin,COLLINS BARRACKS MUSEUM,Collins Barracks Museum,53.347477,-6.28525,0,1,2020-02-28 15:00:04
88,dublin,BLACKHALL PLACE,Blackhall Place,53.348801,-6.281637,0,0,2020-02-28 15:00:04
89,dublin,FITZWILLIAM SQUARE EAST,Fitzwilliam Square East,53.335213,-6.2509,0,1,2020-02-28 15:00:04
90,dublin,BENSON STREET,Benson Street,53.344154,-6.233451,0,0,2020-02-28 15:00:04
91,dublin,SOUTH DOCK ROAD,South Dock Road,53.341831,-6.231291,0,0,2020-02-28 15:00:04
92,dublin,HEUSTON BRIDGE (NORTH),Heuston Bridge (North),53.347801,-6.292432,0,0,2020-02-28 15:00:04
93,dublin,HEUSTON STATION (CENTRAL),Heuston Station (Central),53.346603,-6.296924,0,0,2020-02-28 15:00:04
94,dublin,HEUSTON STATION (CAR PARK),Heuston Station (Car Park),53.346985,-6.297804,0,0,2020-02-28 15:00:04
95,dublin,ROYAL HOSPITAL,Royal Hospital,53.343899,-6.29706,0,1,2020-02-28 15:00:04
96,dublin,KILMAINHAM LANE,Kilmainham Lane,53.341805,-6.305085,0,0,2020-02-28 15:00:04
97,dublin,KILMAINHAM GAOL,Kilmainham Gaol,53.342113,-6.310015,0,1,2020-02-28 15:00:04
98,dublin,FREDERICK STREET SOUTH,Frederick Street South,53.341515,-6.256853,0,1,2020-02-28 15:00:04
99,dublin,CITY QUAY,City Quay,53.346638,-6.246154,0,0,2020-02-28 15:00:04
100,dublin,HEUSTON BRIDGE (SOUTH),Heuston Bridge (South),53.347107,-6.292041,0,0,2020-02-28 15:00:04
101,dublin,KING STREET NORTH,King Street North,53.350292,-6.273507,0,0,2020-02-28 15:00:04
102,dublin,WESTERN WAY,Western Way,53.354931,-6.269425,0,0,2020-02-28 15:00:04
103,dublin,GRANGEGORMAN LOWER (SOUTH),Grangegorman Lower (South),53.354664,-6.278681,0,0,2020-02-28 15:00:04
104,dublin,GRANGEGORMAN LOWER (CENTRAL),Grangegorman Lower (Central),53.355171,-6.278424,0,1,2020-02-28 15:00:04
105,dublin,GRANGEGORMAN LOWER (NORTH),Grangegorman Lower (North),53.355953,-6.278378,0,0,2020-02-28 15:00:04
106,dublin,RATHDOWN ROAD,Rathdown Road,53.358929,-6.280337,0,0,2020-02-28 15:00:04
107,dublin,CHARLEVILLE ROAD,Charleville Road,53.359158,-6.281866,0,1,2020-02-28 15:00:04
108,dublin,AVONDALE ROAD,Avondale Road,53.359406,-6.276142,0,0,2020-02-28 15:00:04
109,dublin,BUCKINGHAM STREET LOWER,Buckingham Street Lower,53.353333,-6.249319,0,0,2020-02-28 15:00:04
110,dublin,PHIBSBOROUGH ROAD,Phibsborough Road,53.356308,-6.273717,0,0,2020-02-28 15:00:04
111,dublin,MOUNTJOY SQUARE EAST,Mountjoy Square East,53.356716,-6.256359,0,1,2020-02-28 15:00:04
112,dublin,NORTH CIRCULAR ROAD (O'CONNELL'S),North Circular Road (O'Connell's),53.357841,-6.251557,0,0,2020-02-28 15:00:04
113,dublin,MERRION SQUARE SOUTH,Merrion Square South,53.338615,-6.248606,0,1,2020-02-28 15:00:04
114,dublin,WILTON TERRACE (PARK),Wilton Terrace (Park),53.333652,-6.248345,0,1,2020-02-28 15:00:04
115,dublin,KILLARNEY STREET,Killarney Street,53.354843,-6.247579,0,0,2020-02-28 15:00:04
116,dublin,BROADSTONE,Broadstone,53.354698,-6.272314,0,1,2020-02-28 15:00:04
117,dublin,HANOVER QUAY EAST,Hanover Quay East,53.343655,-6.231755,0,0,2020-02-28 15:00:04
