,count,mean,std,min,25%,50%,75%,max
id_Entry,369160.0,186324.5,106567.45702449066,1745.0,94034.75,186324.5,278614.25,370904.0
number,369160.0,60.518181818181816,33.76762885069156,2.0,31.0,61.5,90.0,117.0
bike_stands,369160.0,32.18181818181818,7.650538351222864,16.0,29.0,30.0,40.0,40.0
available_bike_stands,369160.0,20.243837360494094,10.777296485759905,0.0,12.0,20.0,29.0,40.0
available_bikes,369160.0,11.84567125365695,9.53375115482449,0.0,4.0,10.0,18.0,40.0
